variant,seed,scenario,reception,error_mode,run_id,strategy_hash,parameter_hash,clear_count,jammer_count,clear_ratio,total_time,move_time,move_distance,RF_detection_count,RF_detection_time,channel_switch_time,optical_time,clear_time,optical_failed_count,completion_proved,client_error,measured_program_wall_time_s,average_localization_clear_time_s_per_source,variant_hash,scene_hash
Gplus,14011,boundary,minimum,plus_one,20260912T090835131147Z-s14011-G-13673dc6,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,3341.596649,2522.5966492289363,12612.983246144682,129,645,124,30,20,0,True,,5.129942500003381,334.1596649,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,7b1cafb3199c65231bc78f54f75eed21d7421302b9e5de27287281221f8e32f7
G,14012,boundary,minimum,minus_one,20260912T090835202341Z-s14012-G-266afa7b,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,4365.326219,3413.32621820606,17066.6310910303,147,735,137,48,32,0,True,,6.556150399992475,272.8328886875,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,f57724cbf518206b1b14a1016708f48303f8ef0fd9ab1ff89fbc990e87c8857f
Gplus,14010,boundary,minimum,smooth,20260912T090833264369Z-s14010-G-e021aa66,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,4383.737792,3397.7377916488585,16988.688958244293,154,770,136,48,32,0,True,,8.681643099989742,273.983612,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,88e0b536332cf6a5bf91f75ff764bc2d53f7df064a70833819c7006d6ea8853a
G,14013,boundary,maximum,fixed_hash,20260912T090837648728Z-s14013-G-c9c570f2,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,3222.522441,2445.5224400693833,12227.612200346915,123,615,112,30,20,0,True,,4.67616660000931,322.2522441,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,2acb79ac6865281083d0cd1d9b1dd450cdf4bfb03a56c1fa43c92ac697810128
Gplus,14013,boundary,maximum,fixed_hash,20260912T090837853472Z-s14013-G-7cda022f,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,10,10,1.0,3259.557717,2392.5577183825117,11962.788591912558,138,690,127,30,20,0,True,,5.645130799995968,325.9557717,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,2acb79ac6865281083d0cd1d9b1dd450cdf4bfb03a56c1fa43c92ac697810128
G,14014,boundary,maximum,smooth,20260912T090839107747Z-s14014-G-4d591e2c,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,16,16,1.0,3591.94244,2858.942436515449,14294.712182577246,110,550,97,54,32,2,True,,5.299107200000435,224.4964025,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,081f8fc67f65b64257139e400f5de3251a716f8f875c7062e5b850cf548619a6
G,14015,boundary,maximum,plus_one,20260912T090840384141Z-s14015-G-0453031b,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,3329.544501,2493.5444984594524,12467.722492297262,132,660,120,36,20,2,True,,5.035374799990677,332.9544501,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,cd3f94216467d54fd5662c208f331f8c87e75319120b0bffcd6646d920a239db
Gplus,14014,boundary,maximum,smooth,20260912T090840131303Z-s14014-G-de4d7eca,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,3539.082418,2809.0824161553346,14045.412080776672,110,550,100,48,32,0,True,,5.865894400005345,221.192651125,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,081f8fc67f65b64257139e400f5de3251a716f8f875c7062e5b850cf548619a6
G,14017,clustered,minimum,fixed_hash,20260912T090843619034Z-s14017-G-cc688adf,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,66b91d427f3d3cf867c3c0655a9c6a665d491b885a854ee10cfda26d72a0095b,10,10,1.0,2258.748707,1576.7487061614088,7883.7435308070435,106,530,102,30,20,0,True,,2.433275200004573,225.87487070000003,b86e372656266059655318a0d78412a33495e50853782e3e3176ca6f4fc14972,867509d2b2f227d684d21a2b44dd0ad6d8c5cab5da8410f5a871669aba161419
Gplus,14012,boundary,minimum,minus_one,20260912T090835260290Z-s14012-G-7bda522b,9ce494b264cc886891dcca475ab649a02a3c1b9ede0a087b25a481904d274603,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,16,16,1.0,4429.318356,3402.3183565953345,17011.591782976673,161,805,142,48,32,0,True,,10.941104199999245,276.83239725,4547d041710703caa816fb405ee47d4100a6c72fd1627df221f8eb4a5aba6db4,f57724cbf518206b1b14a1016708f48303f8ef0fd9ab1ff89fbc990e87c8857f
