RF_detection_count,RF_detection_time,audit_errors,audit_pass,average_localization_clear_time_s_per_source,channel_switch_time,clear_count,clear_ratio,clear_time,client_error,completion_proved,error_mode,experimental_events,future_timed_fallbacks,jammer_count,kind,measured_program_wall_time_s,move_distance,move_time,optical_failed_count,optical_time,parameter_hash,reception,region_checks,run_id,scenario,scene_hash,seed,strategy_hash,total_time,variant,variant_hash
90,450,,True,195.688619375,86,16,1.0,32,,True,fixed_hash,5,0,16,Optical,3.9481943999999203,12560.08954024568,2512.017908049136,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,51,20260912T111933275697Z-s21004-G-894a66a8,uniform,2ebedc7037671cdac7be9d33edf908f006fb277981d1f054e20cd1166d16febf,21004,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3131.01791,OpticalRisk,3102d80144d068104997756caf0de4648c1aeadef8f0b77777bdbb218c7905fc
90,450,,True,190.490652125,85,16,1.0,32,,True,fixed_hash,1,0,16,Route,3.7407304999942426,12164.252152033629,2432.8504304067255,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,50,20260912T111934068628Z-s21004-G-5e0032cb,uniform,2ebedc7037671cdac7be9d33edf908f006fb277981d1f054e20cd1166d16febf,21004,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3047.850434,RouteOrder,7c61cba261b6c1f96d32ec131e22c54c39d8a742f4c25f2bad4d4a349c554c54
93,465,,True,198.0480751875,89,16,1.0,32,,True,fixed_hash,0,0,16,Future,4.4541849000088405,12673.846010200281,2534.7692020400564,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,53,20260912T111933454718Z-s21004-G-4f6f2fa7,uniform,2ebedc7037671cdac7be9d33edf908f006fb277981d1f054e20cd1166d16febf,21004,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3168.769203,FutureAnchor,647c7e229ba59fae93958e3e8163c8df0930392c823c3a96e07fa684dc474c39
93,465,,True,199.2636531875,89,16,1.0,32,,True,fixed_hash,0,0,16,Future,4.339187599995057,12771.092251817554,2554.218450363511,0,48,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,53,20260912T111933858063Z-s21004-G-32bf58f5,uniform,2ebedc7037671cdac7be9d33edf908f006fb277981d1f054e20cd1166d16febf,21004,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3188.218451,FutureRoute,0414f01a1f13ed58eb3a541389f2561a33062003b4baa3ce0e24792a7f2018b6
113,565,,True,215.67364293333333,110,15,1.0,30,,True,fixed_hash,0,0,15,Gplus,4.8833435000124155,12425.523211725196,2485.1046423450393,0,45,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,39,20260912T111935520665Z-s21005-G-164d0403,uniform,52caa501e44c7b0a5726b1291cd8e8224efe15c15e5e2ea1ccbb1eb2e01677b1,21005,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3235.104644,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
113,565,,True,215.29605833333332,110,15,1.0,30,,True,fixed_hash,6,0,15,Optical,5.980794299990521,12397.204369520045,2479.440873904009,0,45,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,39,20260912T111937007569Z-s21005-G-14d57d3f,uniform,52caa501e44c7b0a5726b1291cd8e8224efe15c15e5e2ea1ccbb1eb2e01677b1,21005,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3229.440875,Optical,e92bab2eef9ee23dc696cd258d4c433a2e100841b6992ef174c34ae7b9756e4f
113,565,,True,215.29605833333332,110,15,1.0,30,,True,fixed_hash,6,0,15,Optical,6.381464100006269,12397.204369520045,2479.440873904009,0,45,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,39,20260912T111937401411Z-s21005-G-539a2dad,uniform,52caa501e44c7b0a5726b1291cd8e8224efe15c15e5e2ea1ccbb1eb2e01677b1,21005,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3229.440875,OpticalRisk,3102d80144d068104997756caf0de4648c1aeadef8f0b77777bdbb218c7905fc
114,570,,True,211.5498168,108,15,1.0,30,,True,fixed_hash,0,0,15,Future,6.918392899999162,12101.236258101764,2420.247251620353,0,45,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,40,20260912T111937944897Z-s21005-G-7c7ecadf,uniform,52caa501e44c7b0a5726b1291cd8e8224efe15c15e5e2ea1ccbb1eb2e01677b1,21005,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3173.247252,FutureAnchor,647c7e229ba59fae93958e3e8163c8df0930392c823c3a96e07fa684dc474c39
113,565,,True,215.67364293333333,110,15,1.0,30,,True,fixed_hash,0,0,15,Route,6.56680950000009,12425.523211725196,2485.1046423450393,0,45,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,39,20260912T111938324939Z-s21005-G-14d0767e,uniform,52caa501e44c7b0a5726b1291cd8e8224efe15c15e5e2ea1ccbb1eb2e01677b1,21005,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3235.104644,RouteOrder,7c61cba261b6c1f96d32ec131e22c54c39d8a742f4c25f2bad4d4a349c554c54
114,570,,True,211.5498168,108,15,1.0,30,,True,fixed_hash,0,0,15,Future,6.879163100005826,12101.236258101764,2420.247251620353,0,45,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,mixed,40,20260912T111938032219Z-s21005-G-10bc18b8,uniform,52caa501e44c7b0a5726b1291cd8e8224efe15c15e5e2ea1ccbb1eb2e01677b1,21005,b379d90fb1e232938e67d0444cdd77a5ca987baa8ec1ec4e639524a0b7d6ab84,3173.247252,FutureRoute,0414f01a1f13ed58eb3a541389f2561a33062003b4baa3ce0e24792a7f2018b6
