RF_detection_count,RF_detection_time,audit_errors,audit_pass,average_localization_clear_time_s_per_source,channel_switch_time,clear_count,clear_ratio,clear_time,client_error,completion_proved,count,error_mode,experimental_events,future_timed_fallbacks,jammer_count,kind,measured_program_wall_time_s,move_distance,move_time,optical_failed_count,optical_time,parameter_hash,reception,region_checks,run_id,scenario,scene_hash,seed,strategy_hash,total_time,variant,variant_hash
123,615,,True,324.6057183,115,10,1.0,20,,True,10,fixed_hash,0,0,10,Gplus,6.46197299999767,12330.285907762629,2466.057181552526,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,29,20260912T113223390566Z-s23013-G-60e0a4b9,boundary,e878d2acee294807578b0b9aa3ae1d4cb8fefd9b7084ad1a531e1fdd7d0da772,23013,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3246.057183,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
125,625,,True,326.26784269999996,118,10,1.0,20,,True,10,fixed_hash,4,0,10,OpticalRoute,7.674681999997119,12348.3921325171,2469.67842650342,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,31,20260912T113224449596Z-s23013-G-544d9698,boundary,e878d2acee294807578b0b9aa3ae1d4cb8fefd9b7084ad1a531e1fdd7d0da772,23013,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3262.678427,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
166,830,,True,268.350873875,154,16,1.0,32,,True,16,minus_one,0,0,16,Gplus,13.777859800000442,16133.069907288032,3226.6139814576063,1,51,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,67,20260912T113218739287Z-s23012-G-afe195d9,boundary,404bc4b983f30b7207c1b00c03e29568b9b9f9f8d8f4c7e355337b5665212040,23012,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,4293.613982,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
166,830,,True,268.456250875,154,16,1.0,32,,True,16,minus_one,7,0,16,OpticalRoute,14.396045400004368,16126.500070137228,3225.3000140274457,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,68,20260912T113219746318Z-s23012-G-ecbbba31,boundary,404bc4b983f30b7207c1b00c03e29568b9b9f9f8d8f4c7e355337b5665212040,23012,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,4295.300014,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
138,690,,True,343.9346686,130,10,1.0,20,,True,10,plus_one,0,0,10,Gplus,12.278457699998398,12816.733416398607,2563.346683279721,2,36,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,37,20260912T113230162098Z-s23015-G-595c20a0,boundary,87de12086373f14827604c39e5568e2fca766a1f90320ca9ac1ab86791ddaab0,23015,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3439.346686,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
126,630,,True,227.966500875,110,16,1.0,32,,True,16,smooth,0,0,16,Gplus,15.012234299996635,14107.320063724823,2821.4640127449647,2,54,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,62,20260912T113227934135Z-s23014-G-57e38f6f,boundary,b11370dae189b9f3eec95eab883c0534fca2069ac9a65eab3c8118dde666390a,23014,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3647.464014,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
136,680,,True,343.6516825,130,10,1.0,20,,True,10,plus_one,14,0,10,OpticalRoute,12.150655199991888,12822.584123359811,2564.5168246719622,4,42,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,39,20260912T113232385729Z-s23015-G-91cda812,boundary,87de12086373f14827604c39e5568e2fca766a1f90320ca9ac1ab86791ddaab0,23015,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3436.516825,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
124,620,,True,227.8974365625,109,16,1.0,32,,True,16,smooth,16,0,16,OpticalRoute,15.481485800002702,14126.794916653094,2825.3589833306187,4,60,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,maximum,64,20260912T113229252111Z-s23014-G-d7fbc40c,boundary,b11370dae189b9f3eec95eab883c0534fca2069ac9a65eab3c8118dde666390a,23014,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,3646.358985,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
112,560,,True,237.16914459999998,109,10,1.0,20,,True,10,fixed_hash,0,0,10,Gplus,3.9396424000005936,8263.457221910721,1652.6914443821443,0,30,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,25,20260912T113242714219Z-s23017-G-dd1730d0,clustered,7b906b9e3ced90789e53b9318ac254dac4b84a702b598a70c74845d0c839c408,23017,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2371.691446,Gplus,8415bde2ec5df89a72a65911c0bfd8a7d5ad306da146f80eb7207232f2cd0f4f
112,560,,True,237.4760611,109,10,1.0,20,,True,10,fixed_hash,3,0,10,OpticalRoute,4.070691200002329,8263.803048354981,1652.7606096709962,1,33,3344c0c3c0c9b70bc2c9ecb9b0b1665cf3cc67c01f47d150d7a2cee978833f87,minimum,26,20260912T113243206706Z-s23017-G-2a374581,clustered,7b906b9e3ced90789e53b9318ac254dac4b84a702b598a70c74845d0c839c408,23017,879d22e75ae099462ddfb7a6032b9ee3e5701382fc5f71bca331d53902680f3a,2374.760611,OpticalRoute,1d06f25226f371818df5ddb816a3ba97ddb467814551275892eb521928098687
